pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Hassan,,L¨®pez,,0,189796,0,Appeal3,0,0,0,1703296280,Appeal3,1919 Laurelwood Road,Unit 232,West Vancouver,Mobile,No Surveys,No Mass Appeals,,Opt-out,Opt-out,Survey
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Fatima,Dear,Nakamura,Nonsense Enterprises,185863,628610,176716,Appeal2,1650048166,839100780,147805,1726738609,Appeal2,101 Birch Boulevard,Unit 404,Campbell River,Mobile,Do Not Call,No Surveys,No Surveys,Opt-out,Opt-out,Event
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Chao,Precious,?,,0,352063,0,Appeal2,0,0,0,1699209699,Appeal2,444 Dogwood Court,,Surrey,Home,Do Not Call,No Surveys,No Surveys,Opt-in,Opt-out,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Dimitri,Buddy,Gonz¨¢lez,,886685,0,277912,Appeal2,1613931221,1071959635,20138,1702156190,Appeal2,888 Sequoia Circle,,Delta,Mobile,No Mass Communications,Do Not Email,,Opt-in,Opt-in,Appeal
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Dimitri,Angel,Williams,,0,0,0,Appeal2,0,0,0,1719887578,Appeal3,707 Redwood Terrace,,Abbotsford,Mobile,No Surveys,Do Not Email,Do Not Email,Opt-out,Opt-out,Appeal
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Zainab,Snookums,?zt¨¹rk,,0,764862,0,Appeal3,0,0,0,1724098784,Appeal2,454 Birchwood Lane,Unit 404,Parksville,Mobile,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Holiday Card
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Zainab,,§ª§Ó§Ñ§ß§à§Ó,,847522,663793,663649,Appeal1,1723097296,1760617080,204672,1703958427,Appeal3,909 Aspenwood Way,Unit 808,Delta,Mobile,No Mass Communications,,No Mass Appeals,Opt-out,Opt-out,Survey
Peter Smith,Jane Doe,Chao Nguyen,no,no,Hiroshi,,Chen,,0,502476,0,Appeal2,0,0,0,1724719044,Appeal3,808 Cypress Place,Apt 222,Victoria,Home,Do Not Call,No Mass Appeals,Do Not Email,Opt-in,Opt-in,Inspiration event
Parvati Patel,Alice Smith,Priya Gupta,no,no,Carlos,,Smith,,798634,386454,201896,Appeal1,1624824809,1330617080,317614,1714013759,Appeal3,1313 Poplarwood Street,,Vancouver,Mobile,No Mass Communications,,No Mass Communications,Opt-out,Opt-out,Newsletter
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Amina,,Lee,,0,135133,0,Appeal1,0,0,0,1698542109,Appeal1,909 Aspenwood Way,Unit 606,Burnaby,Work,No Surveys,No Mass Appeals,Do Not Email,Opt-in,Opt-out,
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Chao,Sugar,Garc¨ªa,Gag Gifts Galore,665535,120555,479693,Appeal1,1691586570,1275472664,368154,1704667808,Appeal1,123 Maple Street,,Abbotsford,Home,No Surveys,,Do Not Email,Opt-out,Opt-in,Newsletter
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,no,no,Maria,,Chen,,0,408141,0,Appeal3,0,0,0,1703543991,Appeal1,676 Elmwood Court,Apt 787,Kelowna,Mobile,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Appeal
Gurtrude Schmidt,John Doe,Sven M¨¹ller,yes,no,Sergei,,Ivanov,,0,690521,0,Appeal2,0,0,0,1710824144,Appeal2,787 Sprucewood Drive,,Nanaimo,Home,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-out,Survey
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Leila,Darling,Gonz¨¢lez,Whimsy Works,0,53106,0,Appeal3,0,0,0,1718129307,Appeal1,1111 Cypresswood Terrace,,North Vancouver,Home,No Mass Appeals,No Surveys,No Mass Communications,Opt-out,Opt-out,Magazine
Peter Smith,John Doe,Chao Nguyen,no,no,Zainab,Buttercup,Hern¨¢ndez,,273086,502242,189214,Appeal2,1618407176,1611444352,74234,1713191181,Appeal3,999 Alder Terrace,Apt 787,Victoria,Home,,No Surveys,,Opt-out,Opt-in,Thank you
Gurtrude Schmidt,John Doe,Sven M¨¹ller,no,no,Alice,Buttercup,§ª§Ó§Ñ§ß§à§Ó,,0,371008,0,Appeal1,0,0,0,1700039923,Appeal3,606 Aspen Circle,Unit 333,Saanich,Work,No Surveys,No Mass Appeals,,Opt-in,Opt-in,Holiday Card
Gurtrude Schmidt,John Doe,Sven M¨¹ller,yes,no,Dimitri,,?zt¨¹rk,,651749,132080,391512,Appeal1,1586241315,1240391274,223546,1726133996,Appeal3,1919 Laurelwood Road,Apt 444,Saanich,Mobile,,No Surveys,No Mass Appeals,Opt-in,Opt-out,
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hassan,,Brown,,145412,87800,40732,Appeal1,1624464576,1193427052,10761,1725334653,Appeal3,343 Pinewood Avenue,,Langley,Mobile,,Do Not Email,No Surveys,Opt-out,Opt-out,Thank you
Parvati Patel,Bob Brown,Priya Gupta,no,no,Amina,Buddy,§ª§Ó§Ñ§ß§à§Ó,,0,749319,0,Appeal3,0,0,0,1712972040,Appeal2,898 Willowwood Road,Unit 555,North Vancouver,Work,,,No Mass Communications,Opt-out,Opt-in,Magazine
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Dimitri,,Jones,,0,40218,0,Appeal3,0,0,0,1724058098,Appeal1,343 Pinewood Avenue,Apt 222,Campbell River,Work,,Do Not Email,No Surveys,Opt-out,Opt-out,Thank you
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Maria,Dear,§ª§Ó§Ñ§ß§à§Ó,,231817,970043,119963,Appeal1,1615845434,1530617080,18096,1696346104,Appeal2,303 Elm Drive,Apt 444,Surrey,Work,,No Surveys,,Opt-in,Opt-out,Appeal
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Sven,,Hern¨¢ndez,,0,491647,0,Appeal1,0,0,0,1724543877,Appeal3,888 Sequoia Circle,Unit 232,Maple Ridge,Work,Do Not Call,Do Not Email,Do Not Email,Opt-out,Opt-in,
Peter Smith,Jane Doe,Chao Nguyen,no,no,Maria,Angel,Smith,,935660,602685,816686,Appeal2,1659661502,1507727965,125667,1701449973,Appeal1,111 Poplar Avenue,Unit 898,Nanaimo,Home,,No Surveys,No Mass Communications,Opt-in,Opt-in,Inspiration event
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Hassan,Babe,Ivanov,,134647,871196,34977,Appeal1,1585209976,525343255,11658,1701168882,Appeal3,333 Magnolia Boulevard,Unit 999,Campbell River,Mobile,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-in,Research update
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Hassan,,Lee,,135471,98629,81595,Appeal3,1725527772,1430617080,21894,1723500597,Appeal1,456 Oak Avenue,Apt 444,Saanich,Home,,No Surveys,No Mass Appeals,Opt-in,Opt-out,Newsletter
Gurtrude Schmidt,John Doe,Sven M¨¹ller,no,no,Yuki,,Hern¨¢ndez,,0,976588,0,Appeal2,0,0,0,1715652916,Appeal2,1919 Laurelwood Road,,Campbell River,Home,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,Event
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Jane,,Ivanov,,0,323271,0,Appeal1,0,0,0,1723786362,Appeal3,676 Elmwood Court,,White Rock,Home,,,No Mass Appeals,Opt-out,Opt-in,
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Rajesh,,Gonz¨¢lez,,760447,762091,536268,Appeal1,1607674236,14686985,211984,1702073015,Appeal3,787 Sprucewood Drive,Apt 444,New Westminster,Mobile,No Mass Communications,No Mass Communications,No Surveys,Opt-in,Opt-out,Event
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Rajesh,Cutie,Nakamura,,136925,354004,88906,Appeal3,1638640729,70088166,58210,1697712499,Appeal2,202 Cedar Court,,Port Coquitlam,Work,No Mass Communications,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,
Peter Smith,Jane Doe,Chao Nguyen,no,no,Ingrid,Peach,Gonz¨¢lez,,598437,502906,529687,Appeal1,1611134104,567462560,10166,1697062553,Appeal3,676 Elmwood Court,Apt 505,Saanich,Mobile,Do Not Call,Do Not Email,,Opt-in,Opt-out,Thank you
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,yes,no,Dimitri,,?,Quirky Quacks,0,818323,0,Appeal2,0,0,0,1717840369,Appeal1,1515 Magnoliawood Lane,,Williams Lake,Home,No Mass Appeals,No Surveys,No Surveys,Opt-out,Opt-in,Holiday Card
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,John,,M¨¹ller,,0,401819,0,Appeal1,0,0,0,1703327212,Appeal3,909 Fir Street,,Langley,Mobile,No Surveys,Do Not Email,No Surveys,Opt-out,Opt-in,Survey
Parvati Patel,Bob Brown,Olga Smirnov,no,no,John,,Garc¨ªa,,43601,325363,27337,Appeal1,1575598464,1122622724,19857,1710172064,Appeal3,1818 Juniperwood Drive,Apt 222,Coquitlam,Mobile,Do Not Call,No Mass Communications,Do Not Email,Opt-out,Opt-in,Thank you
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Maria,Angel,?,Silly Solutions,0,566963,0,Appeal1,0,0,0,1708328061,Appeal1,898 Willowwood Road,Unit 606,West Vancouver,Home,No Surveys,,Do Not Email,Opt-out,Opt-out,Inspiration event
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Ingrid,,Smith,,0,0,0,Appeal1,0,0,0,1723375570,Appeal2,808 Cypress Place,,Vancouver,Work,No Mass Appeals,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Newsletter
Peter Smith,Jane Doe,Chao Nguyen,no,no,Amina,,§ª§Ó§Ñ§ß§à§Ó,,908859,736571,863265,Appeal2,1666769242,199142506,222215,1727101031,Appeal3,1818 Juniperwood Drive,Unit 898,Campbell River,Work,No Mass Communications,Do Not Email,No Mass Communications,Opt-out,Opt-in,Magazine
Maria Gonz¨¢lez,Carlos Hern¨¢ndez,Hassan Ahmed,no,no,Alice,Pumpkin,L¨®pez,,0,648100,0,Appeal2,0,0,0,1708230034,Appeal3,111 Poplar Avenue,Unit 999,Kelowna,Home,Do Not Call,,Do Not Email,Opt-out,Opt-out,
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Hiroshi,Sunshine,Chen,,0,370409,0,Appeal2,0,0,0,1721914337,Appeal1,444 Dogwood Court,Unit 808,White Rock,Work,Do Not Call,No Mass Appeals,No Surveys,Opt-out,Opt-in,Thank you
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Fatima,,Kumar,Jester Jamboree,0,79509,0,Appeal1,0,0,0,1697949449,Appeal1,1111 Cypresswood Terrace,Apt 707,Surrey,Work,,No Surveys,,Opt-in,Opt-in,Thank you
Peter Smith,John Doe,Sven M¨¹ller,no,no,Leila,,Gupta,,493379,6612,397087,Appeal1,1693901791,1430729005,15270,1725211452,Appeal1,898 Willowwood Road,Unit 606,Victoria,Work,,,,Opt-out,Opt-in,Inspiration event
Gurtrude Schmidt,Jane Doe,Sven M¨¹ller,no,no,Sergei,Dear,Gupta,,0,292412,0,Appeal3,0,0,0,1723705757,Appeal1,1414 Sycamorewood Avenue,Apt 222,Parksville,Work,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Thank you
Peter Smith,Jane Doe,Sven M¨¹ller,yes,no,Leila,,Cohen,Goofy Gadgets,393916,198568,317309,Appeal1,1686995307,1532617080,67915,1712285420,Appeal1,1313 Poplarwood Street,Unit 404,Saanich,Work,No Surveys,No Mass Communications,,Opt-in,Opt-out,Magazine
